_id,rescent_price,release_price,OG,Retro,SP,QS,SB,SE,model_no,last_price,max_price,min_price,benefit
(GS) Jordan 4 Retro What The 4,360000,195500,0,1,0,0,0,0,408452-146,360000.0,369000.0,185000.0,184.14322250639387
(W) Jordan 1 Retro High OG Mushroom,610000,189000,1,1,0,0,0,0,AH7389-003,350000.0,350000.0,250000.0,185.1851851851852
Jordan 6 Retro Reflections of a Champion,210000,293300,0,1,0,0,0,0,CI4072-001,210000.0,250000.0,180000.0,71.59904534606206
Jordan 1 Low Sail University Gold Black,699000,117300,0,0,0,0,0,0,553558-127,699000.0,699000.0,170000.0,595.9079283887468
Jordan XXXIII x Travis Scott Retro Army Olive,300000,241200,0,1,0,0,0,0,CD5965-300,309000.0,400000.0,245000.0,128.10945273631842
Jordan 18 Retro Black Sport Royal,360000,293300,0,1,0,0,0,0,AA2494-007,280000.0,360000.0,230000.0,95.4653937947494
(GS) Jordan 1 Retro High OG Shadow 2018,550000,156400,1,1,0,0,0,0,575441-013,480000.0,590000.0,380000.0,306.9053708439898
Jordan 10 Retro I'm Back,200000,247700,0,1,0,0,0,0,310805-104,200000.0,260000.0,199000.0,80.74283407347598
Jordan 4 Retro Laser Black Gum,350000,260700,0,1,0,0,0,0,CI1184-001,385000.0,400000.0,168000.0,147.67932489451476
Jordan XXXII MJ Day,200000,241200,0,0,0,0,0,0,AA1253-001,199000.0,200000.0,199000.0,82.50414593698176
Jordan 3 Retro Golf White Cement,430000,260700,0,1,0,0,0,0,AJ3783-100,600000.0,600000.0,263000.0,230.14959723820482
(GS) Jordan 13 Retro OG Chicago 2017,151000,182500,1,1,0,0,0,0,414574-122,189000.0,190000.0,150000.0,103.56164383561644
Jordan 1 Retro Golf Cleat Chicago,1900000,260700,0,1,0,0,0,0,917717-100,1900000.0,1900000.0,950000.0,728.807057920982
(GS) Jordan 3 Retro OG True Blue 2016,230000,208600,1,1,0,0,0,0,854261-106,200000.0,265000.0,134000.0,95.87727708533077
(GS) Jordan 11 Retro Low Closing Ceremony,199000,169500,0,1,0,0,0,0,528896-103,175000.0,209000.0,175000.0,103.24483775811208
(GS) Jordan 11 Retro Low Navy Gum,270000,156400,0,1,0,0,0,0,528896-405,189000.0,189000.0,130000.0,120.84398976982098
Jordan 5 Retro Low Alternate 90,259000,228100,0,1,0,0,0,0,819171-001,229000.0,285000.0,180000.0,100.39456378781236
Jordan 1.5 Retro Chicago 2015,750000,195500,0,1,0,0,0,0,768861-601,680000.0,680000.0,450000.0,347.82608695652175
Jordan 7 Retro Bordeaux 2015,385000,247700,0,1,0,0,0,0,304775-034,220000.0,305000.0,220000.0,88.81711748082358
Jordan 1 Retro Melo PE,299000,169500,0,1,0,0,0,0,332550-026,250000.0,290000.0,200000.0,147.49262536873155
Jordan 3 Retro Wolf Grey,193000,221600,0,1,0,0,0,0,136064-004,270000.0,270000.0,210000.0,121.84115523465704
Jordan Zion 1 PF White Metallic Silver Hyper Pink,129000,139000,0,0,0,0,0,0,DA3129-100,71000.0,83000.0,65000.0,51.07913669064749
(GS) Jordan 1 Mid SE Grey Camo,685000,120400,0,0,0,0,0,1,DD3235-100,399000.0,399000.0,245000.0,331.3953488372093
Jordan 1 Low Astrograbber,320000,130300,0,0,0,0,0,0,DC3533-100,294000.0,294000.0,175000.0,225.6331542594014
Jordan 1 Low SE Washed Denim,599000,143400,0,0,0,0,0,1,CZ8455-100,290000.0,300000.0,250000.0,202.23152022315202
Jordan XXXIV Low PF Pure Money,300000,199000,0,0,0,0,0,0,CU3475-100,300000.0,300000.0,175000.0,150.75376884422113
Jordan 1 Low Court Purple Black,150000,117300,0,0,0,0,0,0,553558-501,200000.0,200000.0,130000.0,170.50298380221653
Jordan 1 Mid Camo 2020,398000,149900,0,0,0,0,0,0,CW5490-001,390000.0,390000.0,220000.0,260.17344896597734
Jordan XXXIV PF White Iridescent,215000,209000,0,0,0,0,0,0,BQ3381-101,215000.0,250000.0,180000.0,102.87081339712918
(W) Jordan 11 Retro Vast Grey,620000,286800,0,1,0,0,0,0,AR0715-100,620000.0,620000.0,220000.0,216.17852161785217
(GS) Jordan 1 Low Shattered Backboard,340000,97700,0,0,0,0,0,0,553560-128,350000.0,350000.0,140000.0,358.23950870010236
(W) Jordan 11 Retro Low Pink Snakeskin 2019,355000,241200,0,1,0,0,0,0,AH7860-106,355000.0,355000.0,160000.0,147.18076285240465
(GS) Jordan 1 Retro High OG Crimson Tint,349000,156400,1,1,0,0,0,0,575441-081,200000.0,299000.0,200000.0,127.8772378516624
(GS) Jordan 1 Low Black Toe,400000,97700,0,0,0,0,0,0,553560-116,450000.0,450000.0,190000.0,460.59365404298876
(GS) Jordan 1 Mid Triple White,190000,117300,0,0,0,0,0,0,554725-130,190000.0,200000.0,100000.0,161.9778346121057
Jordan 13 Retro Altitude 2017,269000,247700,0,1,0,0,0,0,414571-042,269000.0,269000.0,250000.0,108.5991118288252
Jordan 2 Retro Decon Sail,350000,208600,0,1,0,0,0,0,897521-100,350000.0,350000.0,350000.0,167.78523489932886
(GS) Jordan 11 Retro Low Barons,200000,169500,0,1,0,0,0,0,528896-010,269000.0,269000.0,200000.0,158.70206489675516
(GS) Jordan 1 Retro High Premium Frost White,289000,182500,0,1,0,0,0,0,832596-100,289000.0,289000.0,289000.0,158.35616438356163
Jordan 1 Retro Low OG Chicago 2016,1570000,169500,1,1,0,0,0,0,705329-600,1090000.0,1350000.0,700000.0,643.0678466076696
Jordan 7 Retro Barcelona Days,220000,247700,0,1,0,0,0,0,304775-016,191000.0,191000.0,169000.0,77.10940654016956
Jordan 4 Retro 30th Anniversary Laser,450000,325900,0,1,0,0,0,0,705333-105,400000.0,480000.0,360000.0,122.73703590058301
(GS) Jordan 1 Retro Low OG Bred 2015,459000,169500,1,1,0,0,0,0,709999-001,220000.0,220000.0,196000.0,129.79351032448378
Jordan 1 Retro Black Toe 2013,950000,182500,0,1,0,0,0,0,555088-184,950000.0,1100000.0,779000.0,520.5479452054794
Jordan 1 Retro High Banned 2011,5000000,162900,0,1,0,0,0,0,432001-001,5000000.0,5000000.0,5000000.0,3069.367710251688
Jordan 1 Retro KO High Chicago Vintage,399000,162900,0,1,0,0,0,0,402297-101,420000.0,420000.0,369000.0,257.8268876611418
Jordan XXXV Sisterhood,120000,229000,0,0,0,0,0,0,CZ5657-100,125000.0,130000.0,125000.0,54.58515283842795
Jordan 1 High FlyEase Black Particle Grey Gym Red,155000,169000,0,0,0,0,0,0,CQ3835-002,230000.0,230000.0,150000.0,136.09467455621302
(GS) Jordan 1 Low Royal Yellow,250000,99000,0,0,0,0,0,0,553560-123,250000.0,250000.0,85000.0,252.5252525252525
Jordan Delta SP Black,189000,159000,0,0,1,0,0,0,CD6109-001,245000.0,245000.0,130000.0,154.08805031446542
Jordan XXXIV PF Infrared 23,250000,209000,0,0,0,0,0,0,BQ3381-600,170000.0,300000.0,140000.0,81.3397129186603
Jordan XXXIV SE PF Chicago,230000,209000,0,0,0,0,0,1,CU1548-001,225000.0,275000.0,223000.0,107.65550239234449
Jordan XXXIV PF Black Cat,219000,209000,0,0,0,0,0,0,BQ3381-003,170000.0,189000.0,135000.0,81.3397129186603
(GS) Jordan 11 Retro Low Snake Light Bone,305000,176000,0,1,0,0,0,0,CD6847-002,350000.0,350000.0,239000.0,198.86363636363635
Jordan 1 Mid White Chicago,212000,143400,0,0,0,0,0,0,554724-116,266000.0,266000.0,190000.0,185.49511854951186
Jordan 1 Mid Maybe I Destroyed The Game,130000,156400,0,0,0,0,0,0,852542-016,130000.0,130000.0,130000.0,83.12020460358056
(W) Jordan 1 Retro Low NS Black,199000,143400,0,1,0,0,0,0,AO1935-001,199000.0,199000.0,199000.0,138.77266387726638
Jordan 9 Retro Boot Wheat,189000,293300,0,1,0,0,0,0,AR4491-700,189000.0,189000.0,189000.0,64.43914081145584
Jordan 3 Retro Pure White 2018,370000,247700,0,1,0,0,0,0,136064-111,404000.0,405000.0,200000.0,163.10052482842147
(GS) Jordan 11 Retro Win Like 96 Gym Red,229000,209000,0,1,0,0,0,0,378038-623,399000.0,399000.0,149000.0,190.9090909090909
Jordan 5 Retro P51 Camo,300000,247700,0,1,0,0,0,0,136027-051,300000.0,390000.0,200000.0,121.11425111021397
(GS) Jordan 1 Retro High OG Sail,200000,156400,1,1,0,0,0,0,575441-114,200000.0,200000.0,200000.0,127.8772378516624
Jordan 3 Retro Wool,179000,260700,0,1,0,0,0,0,854263-004,179000.0,230000.0,122000.0,68.66129650939777
Jordan 5 Retro Low Dunk From Above,260000,228100,0,1,0,0,0,0,819171-135,260000.0,290000.0,190000.0,113.98509425690486
